uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
cfcc327e-388e-4400-b9d5-04b62af37ae8,SERC_055.basePlot.vst,2017-11-28,vst_SERC_2017,D02,SERC,SERC_055,41,4,41_01,ROMU,Rosa multiflora Thunb.,species,,"",94,0,100,3,1.32,,jporta@BattelleEcology.org,llemmon@field-ops.org,,20220104T181501Z,RELEASE-2022
81270fda-83ae-4b08-a727-314a014fb6fa,SERC_055.basePlot.vst,2017-11-28,vst_SERC_2017,D02,SERC,SERC_055,41,4,41_01,FRAM2,Fraxinus americana L.,species,,cf. species,2,100,0,3,1.32,,jporta@BattelleEcology.org,llemmon@field-ops.org,,20220104T181501Z,RELEASE-2022
a8953ed3-e0f7-4b3b-9a1c-cd8e55951585,SERC_055.basePlot.vst,2017-11-28,vst_SERC_2017,D02,SERC,SERC_055,41,1,41_02,LOJA,Lonicera japonica Thunb.,species,,"",2,100,0,8,2.22,,jporta@BattelleEcology.org,llemmon@field-ops.org,,20220104T181501Z,RELEASE-2022
45ed2e2d-4916-4472-a6c6-de53d3cd0eb2,SERC_055.basePlot.vst,2017-11-28,vst_SERC_2017,D02,SERC,SERC_055,41,4,41_01,RUPH,Rubus phoenicolasius Maxim.,species,,"",4,0,100,3,1.32,,jporta@BattelleEcology.org,llemmon@field-ops.org,,20220104T181501Z,RELEASE-2022
52cbd769-db75-46c8-96ce-cf10858911e2,SERC_055.basePlot.vst,2017-11-28,vst_SERC_2017,D02,SERC,SERC_055,41,1,41_02,ROMU,Rosa multiflora Thunb.,species,,"",98,100,0,8,2.22,,jporta@BattelleEcology.org,llemmon@field-ops.org,,20220104T181501Z,RELEASE-2022
d71055c7-19cb-4b1d-ba31-b5921421969f,SERC_055.basePlot.vst,2018-11-08,vst_SERC_2018,D02,SERC,SERC_055,41,1,41_01,LOJA,Lonicera japonica Thunb.,species,,,10,70,30,6.3,3.08,,,,,20220104T174545Z,RELEASE-2022
a49931fa-1e4d-4b2f-a95c-18bd9649f379,SERC_055.basePlot.vst,2018-11-08,vst_SERC_2018,D02,SERC,SERC_055,41,1,41_01,ROMU,Rosa multiflora Thunb.,species,,,90,5,95,6.3,3.08,,,,,20220104T174545Z,RELEASE-2022
45008833-02b0-41c1-8a72-d5542e5ebfbd,SERC_010.basePlot.vst,2019-10-08,vst_SERC_2016,D02,SERC,SERC_010,32,2,32_03,ROMU,Rosa multiflora Thunb.,species,,,100,100,0,2.6,0.96,,0000-0003-1337-5330,0000-0001-5623-6512,,20220104T181456Z,RELEASE-2022
4833b908-0c44-4507-94f8-fc6c1becd639,SERC_010.basePlot.vst,2019-10-08,vst_SERC_2019,D02,SERC,SERC_010,32,4,32_02,ROMU,Rosa multiflora Thunb.,species,,,100,90,10,9,1.72,,0000-0001-8122-5196,0000-0003-2136-9037,,20220104T181456Z,RELEASE-2022
8b592e7f-0ee9-4c03-a35d-6d181207f506,SERC_010.basePlot.vst,2019-10-08,vst_SERC_2019,D02,SERC,SERC_010,41,1,41_01,ROMU,Rosa multiflora Thunb.,species,,,100,95,5,6,1.52,,0000-0001-8122-5196,0000-0003-2136-9037,,20220104T181456Z,RELEASE-2022
b49f56b8-2023-4139-a3be-d2928719a0d6,SERC_003.basePlot.vst,2019-11-05,vst_SERC_2019,D02,SERC,SERC_003,32,2,32_01,ROMU,Rosa multiflora Thunb.,species,,,48,90,10,8.5,1.78,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
0e3adbb3-85f3-4548-aae9-536daf0b867f,SERC_003.basePlot.vst,2019-11-05,vst_SERC_2019,D02,SERC,SERC_003,31,1,31_05,RUPE3,Rubus pensilvanicus Poir.,species,,,100,50,50,8,1.16,Being pulled down by lianas,0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
b86273fb-f162-4f0c-9530-faf38cec0364,SERC_003.basePlot.vst,2019-11-05,vst_SERC_2019,D02,SERC,SERC_003,32,2,32_01,ILOP,Ilex opaca Aiton,species,,,5,100,0,8.5,1.78,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
6921e3ef-d939-4bb9-a886-c4b046f90f0d,SERC_003.basePlot.vst,2019-11-05,vst_SERC_2019,D02,SERC,SERC_003,32,2,32_01,BETH,Berberis thunbergii DC.,species,,,47,70,30,8.5,1.78,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
d95c2f36-32d2-472d-8491-32b2d699bb5b,SERC_003.basePlot.vst,2019-11-06,vst_SERC_2019,D02,SERC,SERC_003,31,4,31_03,BETH,Berberis thunbergii DC.,species,,,95,95,5,3.5,1.42,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
432c4008-cd4f-489d-96a2-5a6423c30ee6,SERC_003.basePlot.vst,2019-11-06,vst_SERC_2019,D02,SERC,SERC_003,41,1,41_02,BETH,Berberis thunbergii DC.,species,,,100,100,0,4,1.48,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
b30c3f6f-d11b-41d7-a355-8e36b451c85e,SERC_003.basePlot.vst,2019-11-06,vst_SERC_2019,D02,SERC,SERC_003,31,4,31_03,RUPE3,Rubus pensilvanicus Poir.,species,,,5,100,0,3.5,1.42,"",0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
c6634da6-edbc-4236-9347-fecdb8c7c513,SERC_003.basePlot.vst,2019-11-06,vst_SERC_2019,D02,SERC,SERC_003,31,4,31_04,RUPE3,Rubus pensilvanicus Poir.,species,,,100,50,50,4,1.12,Being pulled down by non-qualifying LOJA,0000-0001-7914-5891,0000-0001-5222-4944,,20220104T173228Z,RELEASE-2022
315a4a6d-e0aa-4a72-876b-bee54dc4bc4f,ORNL_027.basePlot.vst,2017-11-08,vst_ORNL_2017,D07,ORNL,ORNL_027,31,1,31_01,LISI,Ligustrum sinense Lour.,species,,,20,95,5,29,4.2,,kleffler@battelleecology.org,lelmore@battelleecology.org,,20220104T174253Z,RELEASE-2022
850623fa-e742-4a1c-8d59-d2e3f8d095b1,ORNL_027.basePlot.vst,2017-11-08,vst_ORNL_2017,D07,ORNL,ORNL_027,31,1,31_01,ROMU,Rosa multiflora Thunb.,species,,,80,65,35,29,4.2,,kleffler@battelleecology.org,lelmore@battelleecology.org,,20220104T174253Z,RELEASE-2022
