uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks,publicationDate,release
c7a30d98-c510-4cf8-9fdd-db5e124f1884,BART_040.basePlot.bgc,D01,BART,BART_040,2016-04-18T16:56Z,2017-08-30,soil,BART_040-O-14.5-7-20160418-GEN,Battelle Applied Genomics,BART_040-O-14.5-7-20160418-GEN-DNA1,,BMI_Plate1WellH10,BMI_qPCR_SOP_v1,29,N,16S,bacteria and archaea,3024.3,205.3,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
f512ef61-7105-4a50-ac83-376ba9af730b,BART_071.basePlot.bgc,D01,BART,BART_071,2016-04-18T18:24Z,2017-08-30,soil,BART_071-O-8-13-20160418-GEN,Battelle Applied Genomics,BART_071-O-8-13-20160418-GEN-DNA1,,BMI_Plate1WellB6,BMI_qPCR_SOP_v1,23,N,ITS,fungi,168,17,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
7343b354-86f1-4b8e-aebe-04917246b374,BART_071.basePlot.bgc,D01,BART,BART_071,2016-04-18T18:24Z,2017-08-30,soil,BART_071-O-8-13-20160418-GEN,Battelle Applied Genomics,BART_071-O-8-13-20160418-GEN-DNA1,,BMI_Plate1WellB6,BMI_qPCR_SOP_v1,23,N,16S,bacteria and archaea,9499.5,1188.7,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
0ece4169-3ba9-495b-b788-9f9372325736,BART_071.basePlot.bgc,D01,BART,BART_071,2016-04-18T18:44Z,2017-08-30,soil,BART_071-O-28-3-20160418-GEN,Battelle Applied Genomics,BART_071-O-28-3-20160418-GEN-DNA1,,BMI_Plate1WellH5,BMI_qPCR_SOP_v1,22,N,16S,bacteria and archaea,13542.8,1053.3,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
b21f596f-4cdf-4558-acef-14cd3b535dcf,BART_071.basePlot.bgc,D01,BART,BART_071,2016-04-18T18:44Z,2017-08-30,soil,BART_071-O-28-3-20160418-GEN,Battelle Applied Genomics,BART_071-O-28-3-20160418-GEN-DNA1,,BMI_Plate1WellH5,BMI_qPCR_SOP_v1,22,N,ITS,fungi,177.6,9.7,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
9848373a-c5ac-4883-aa6e-73ae65887da2,BART_071.basePlot.bgc,D01,BART,BART_071,2016-04-18T19:19Z,2017-09-02,soil,BART_071-O-8.5-30.5-20160418-GEN,Battelle Applied Genomics,BART_071-O-8.5-30.5-20160418-GEN-DNA1,,BMI_Plate1WellD7,BMI_qPCR_SOP_v1,39,N,ITS,fungi,0.1,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
b00e42ba-50b8-4dc4-b3e2-5283ee6a9c9d,BART_001.basePlot.bgc,D01,BART,BART_001,2016-04-19T14:57Z,2017-08-30,soil,BART_001-O-20-36.5-20160419-GEN,Battelle Applied Genomics,BART_001-O-20-36.5-20160419-GEN-DNA1,,BMI_Plate1WellE10,BMI_qPCR_SOP_v1,20,N,16S,bacteria and archaea,6652.9,3466.2,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
bc747bdf-aaba-432d-a76e-8fc8ae549171,BART_001.basePlot.bgc,D01,BART,BART_001,2016-04-19T15:25Z,2017-08-30,soil,BART_001-O-38.5-8-20160419-GEN,Battelle Applied Genomics,BART_001-O-38.5-8-20160419-GEN-DNA1,,BMI_Plate1WellE8,BMI_qPCR_SOP_v1,4.9,N,16S,bacteria and archaea,3791.6,1738.3,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
2b61f95d-ec08-48a2-9510-cafbaac85dbc,BART_001.basePlot.bgc,D01,BART,BART_001,2016-04-19T15:25Z,2017-09-02,soil,BART_001-O-38.5-8-20160419-GEN,Battelle Applied Genomics,BART_001-O-38.5-8-20160419-GEN-DNA1,,BMI_Plate1WellE8,BMI_qPCR_SOP_v1,4.9,N,ITS,fungi,44,5.5,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
8280763c-fb83-4199-800f-e1413438ac62,BART_004.basePlot.bgc,D01,BART,BART_004,2016-04-19T18:19Z,2017-08-30,soil,BART_004-O-12.5-33.5-20160419-GEN,Battelle Applied Genomics,BART_004-O-12.5-33.5-20160419-GEN-DNA1,,BMI_Plate1WellE4,BMI_qPCR_SOP_v1,17,N,ITS,fungi,0.1,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
239a1109-b6a7-4a14-a1c3-9d4867d7132a,BART_004.basePlot.bgc,D01,BART,BART_004,2016-04-19T18:50Z,2017-08-28,soil,BART_004-O-37.5-38-20160419-GEN,Battelle Applied Genomics,BART_004-O-37.5-38-20160419-GEN-DNA1,,BMI_Plate1WellF3,BMI_qPCR_SOP_v1,31,N,16S,bacteria and archaea,6851.8,793.5,EpO2CC/Vy5ISfMKifWWP0Q==,hZbYwvE98vBA1vUJjmUdFg==,,20201217T165634Z,RELEASE-2021
c27c5196-2faa-43e3-9c47-3c7b64903a38,BART_004.basePlot.bgc,D01,BART,BART_004,2016-04-19T18:50Z,2017-08-28,soil,BART_004-O-37.5-38-20160419-GEN,Battelle Applied Genomics,BART_004-O-37.5-38-20160419-GEN-DNA1,,BMI_Plate1WellF3,BMI_qPCR_SOP_v1,31,N,ITS,fungi,35.3,4.8,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
189a8a76-d400-493a-9b9a-f15a12153739,BART_023.basePlot.bgc,D01,BART,BART_023,2016-04-20T15:19Z,2017-08-30,soil,BART_023-O-2.5-31.5-20160420-GEN,Battelle Applied Genomics,BART_023-O-2.5-31.5-20160420-GEN-DNA1,,BMI_Plate1WellA11,BMI_qPCR_SOP_v1,20,N,16S,bacteria and archaea,8153,155.8,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
79e52ad4-1b0e-4b15-84f0-6a6ec8500524,BART_023.basePlot.bgc,D01,BART,BART_023,2016-04-20T15:38Z,2018-01-24,soil,BART_023-O-0.5-8.5-20160420-GEN,Battelle Applied Genomics,BART_023-O-0.5-8.5-20160420-GEN-DNA1,,BMI_Plate18WellF9,BMI_qPCR_SOP_v3,6.6,N,ITS,fungi,4.4,3.5,xsqMzXlE03kcMgeNbCuDQw==,rxnG2CiGqmvDdHh9VY28xQ==,,20201217T165634Z,RELEASE-2021
3be55f44-d219-4f01-95fc-820620970863,BART_023.basePlot.bgc,D01,BART,BART_023,2016-04-20T15:38Z,2018-01-23,soil,BART_023-O-0.5-8.5-20160420-GEN,Battelle Applied Genomics,BART_023-O-0.5-8.5-20160420-GEN-DNA1,,BMI_Plate18WellF9,BMI_qPCR_SOP_v3,6.6,N,16S,bacteria and archaea,14434.6,2958.3,hZbYwvE98vBgTyr5HWFh7g==,rxnG2CiGqmvDdHh9VY28xQ==,,20201217T165634Z,RELEASE-2021
4a566381-3492-4b4f-b151-515f77be13af,BART_023.basePlot.bgc,D01,BART,BART_023,2016-04-20T16:00Z,2018-01-24,soil,BART_023-O-36-34-20160420-GEN,Battelle Applied Genomics,BART_023-O-36-34-20160420-GEN-DNA1,,BMI_Plate18WellG5,BMI_qPCR_SOP_v3,22,N,ITS,fungi,6.5,0.6,xsqMzXlE03kcMgeNbCuDQw==,rxnG2CiGqmvDdHh9VY28xQ==,,20201217T165634Z,RELEASE-2021
20054b87-0e11-4f25-9dca-d76c5c15ad3c,BART_024.basePlot.bgc,D01,BART,BART_024,2016-04-20T17:10Z,2017-08-28,soil,BART_024-O-27.5-35-20160420-GEN,Battelle Applied Genomics,BART_024-O-27.5-35-20160420-GEN-DNA1,,BMI_Plate1WellE3,BMI_qPCR_SOP_v1,13,N,ITS,fungi,134.3,13.6,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
e4623f2e-a0df-4e2d-80e8-e940c160350c,BART_024.basePlot.bgc,D01,BART,BART_024,2016-04-20T17:10Z,2017-08-28,soil,BART_024-O-27.5-35-20160420-GEN,Battelle Applied Genomics,BART_024-O-27.5-35-20160420-GEN-DNA1,,BMI_Plate1WellE3,BMI_qPCR_SOP_v1,13,N,16S,bacteria and archaea,37849.2,9836.3,EpO2CC/Vy5ISfMKifWWP0Q==,hZbYwvE98vBA1vUJjmUdFg==,,20201217T165634Z,RELEASE-2021
15ced6a3-8317-4e1e-8e2f-8a33f68ab313,BART_024.basePlot.bgc,D01,BART,BART_024,2016-04-20T17:30Z,2018-01-24,soil,BART_024-O-6-35-20160420-GEN,Battelle Applied Genomics,BART_024-O-6-35-20160420-GEN-DNA1,,BMI_Plate18WellF6,BMI_qPCR_SOP_v3,36,N,ITS,fungi,4.6,0.5,xsqMzXlE03kcMgeNbCuDQw==,rxnG2CiGqmvDdHh9VY28xQ==,,20201217T165634Z,RELEASE-2021
3240754c-839b-47dc-93e0-c9c1f74f5432,BART_036.basePlot.bgc,D01,BART,BART_036,2016-04-25T15:53Z,2017-08-30,soil,BART_036-O-1-6-20160425-GEN,Battelle Applied Genomics,BART_036-O-1-6-20160425-GEN-DNA1,,BMI_Plate1WellF10,BMI_qPCR_SOP_v1,45,N,16S,bacteria and archaea,1470,407.2,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
a99dd4e5-2798-4c7c-a48f-801629b482b3,BART_036.basePlot.bgc,D01,BART,BART_036,2016-04-25T17:04Z,2017-09-02,soil,BART_036-O-34-29.5-20160425-GEN,Battelle Applied Genomics,BART_036-O-34-29.5-20160425-GEN-DNA1,,BMI_Plate1WellC7,BMI_qPCR_SOP_v1,15,N,ITS,fungi,0.1,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
f34b8be5-570c-44ed-8a8a-fca80213d460,BART_003.basePlot.bgc,D01,BART,BART_003,2016-04-25T20:23Z,2017-08-28,soil,BART_003-O-6-24.5-20160425-GEN,Battelle Applied Genomics,BART_003-O-6-24.5-20160425-GEN-DNA1,,BMI_Plate1WellG3,BMI_qPCR_SOP_v1,41,N,ITS,fungi,1.1,0.2,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
4dc27730-f158-420a-a1fe-cabd3ddb7c70,BART_003.basePlot.bgc,D01,BART,BART_003,2016-04-25T20:44Z,2017-09-02,soil,BART_003-O-37-37-20160425-GEN,Battelle Applied Genomics,BART_003-O-37-37-20160425-GEN-DNA1,,BMI_Plate1WellA8,BMI_qPCR_SOP_v1,29,N,ITS,fungi,53.1,5.5,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
ed083ba3-ea30-4f8f-bc3f-2a7f42fe2abf,BART_003.basePlot.bgc,D01,BART,BART_003,2016-04-25T20:44Z,2017-08-30,soil,BART_003-O-37-37-20160425-GEN,Battelle Applied Genomics,BART_003-O-37-37-20160425-GEN-DNA1,,BMI_Plate1WellA8,BMI_qPCR_SOP_v1,29,N,16S,bacteria and archaea,12418.4,2067,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
b4a755c2-0e94-428d-b6fc-98187a5824ec,BART_002.basePlot.bgc,D01,BART,BART_002,2016-04-26T12:48Z,2017-08-28,soil,BART_002-O-3-8-20160426-GEN,Battelle Applied Genomics,BART_002-O-3-8-20160426-GEN-DNA1,,BMI_Plate1WellF1,BMI_qPCR_SOP_v1,58,N,ITS,fungi,18.3,1.9,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
7b2fb17a-9e70-4e7a-93fc-b991f2d888a9,BART_002.basePlot.bgc,D01,BART,BART_002,2016-04-26T13:23Z,2017-09-02,soil,BART_002-O-12.5-38-20160426-GEN,Battelle Applied Genomics,BART_002-O-12.5-38-20160426-GEN-DNA1,,BMI_Plate1WellF7,BMI_qPCR_SOP_v1,78,N,ITS,fungi,0,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
8af10c6e-59a7-4f4a-9507-b3b268967a6c,BART_002.basePlot.bgc,D01,BART,BART_002,2016-04-26T13:49Z,2017-08-28,soil,BART_002-O-31.5-0.5-20160426-GEN,Battelle Applied Genomics,BART_002-O-31.5-0.5-20160426-GEN-DNA1,,BMI_Plate1WellC1,BMI_qPCR_SOP_v1,36,N,ITS,fungi,20.5,1.6,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165634Z,RELEASE-2021
c9f3e799-d36e-4141-a41d-c6a20238faba,BART_042.basePlot.bgc,D01,BART,BART_042,2016-04-26T15:20Z,2017-09-02,soil,BART_042-O-18.5-5.5-20160426-GEN,Battelle Applied Genomics,BART_042-O-18.5-5.5-20160426-GEN-DNA1,,BMI_Plate1WellG8,BMI_qPCR_SOP_v1,37,N,ITS,fungi,14.2,1,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
15716114-3273-4f45-8eb7-b88c49f47a2d,BART_042.basePlot.bgc,D01,BART,BART_042,2016-04-26T15:20Z,2017-08-30,soil,BART_042-O-18.5-5.5-20160426-GEN,Battelle Applied Genomics,BART_042-O-18.5-5.5-20160426-GEN-DNA1,,BMI_Plate1WellG8,BMI_qPCR_SOP_v1,37,N,16S,bacteria and archaea,4674.6,235.9,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
b2bdeff3-1595-4f92-a25b-473c0cab92ce,BART_042.basePlot.bgc,D01,BART,BART_042,2016-04-26T15:43Z,2017-08-30,soil,BART_042-O-38.5-7.5-20160426-GEN,Battelle Applied Genomics,BART_042-O-38.5-7.5-20160426-GEN-DNA1,,BMI_Plate1WellG10,BMI_qPCR_SOP_v1,45,N,16S,bacteria and archaea,514.7,26.3,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
8f107e1d-91af-4b22-9ec8-f6c0fdafe2d5,BART_042.basePlot.bgc,D01,BART,BART_042,2016-04-26T16:02Z,2017-08-30,soil,BART_042-O-21-30.5-20160426-GEN,Battelle Applied Genomics,BART_042-O-21-30.5-20160426-GEN-DNA1,,BMI_Plate1WellG12,BMI_qPCR_SOP_v1,17,N,16S,bacteria and archaea,26277.9,4745.9,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165634Z,RELEASE-2021
27551912-0149-43ab-a0eb-79d15cf70a18,BART_001.basePlot.bgc,D01,BART,BART_001,2016-07-25T15:29Z,2017-08-30,soil,BART_001-O-11.5-9.5-20160725-GEN,Battelle Applied Genomics,BART_001-O-11.5-9.5-20160725-GEN-DNA1,,BMI_Plate1WellF4,BMI_qPCR_SOP_v1,64,N,ITS,fungi,0,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
9b741292-5e01-425d-8219-2aec6746e9a7,BART_001.basePlot.bgc,D01,BART,BART_001,2016-07-25T16:10Z,2017-08-28,soil,BART_001-O-30-17-20160725-GEN,Battelle Applied Genomics,BART_001-O-30-17-20160725-GEN-DNA1,,BMI_Plate1WellE2,BMI_qPCR_SOP_v1,22,N,16S,bacteria and archaea,19109.6,4688.3,EpO2CC/Vy5ISfMKifWWP0Q==,hZbYwvE98vBA1vUJjmUdFg==,,20201217T165703Z,RELEASE-2021
4366ab27-4007-439b-b163-5217239a9e9b,BART_001.basePlot.bgc,D01,BART,BART_001,2016-07-25T16:10Z,2017-08-28,soil,BART_001-O-30-17-20160725-GEN,Battelle Applied Genomics,BART_001-O-30-17-20160725-GEN-DNA1,,BMI_Plate1WellE2,BMI_qPCR_SOP_v1,22,N,ITS,fungi,44.5,7.7,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165703Z,RELEASE-2021
3bccfdb3-6b36-432e-a3a3-1b9d8265d82a,BART_004.basePlot.bgc,D01,BART,BART_004,2016-07-25T18:37Z,2017-08-31,soil,BART_004-O-22.5-2.5-20160725-GEN,Battelle Applied Genomics,BART_004-O-22.5-2.5-20160725-GEN-DNA1,,BMI_Plate1WellD12,BMI_qPCR_SOP_v1,30,N,ITS,fungi,0,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
2793d526-5339-435c-ae91-2f1bbeefb0f3,BART_042.basePlot.bgc,D01,BART,BART_042,2016-07-25T20:16Z,2017-08-30,soil,BART_042-O-4-31.5-20160725-GEN,Battelle Applied Genomics,BART_042-O-4-31.5-20160725-GEN-DNA1,,BMI_Plate1WellG11,BMI_qPCR_SOP_v1,60,N,16S,bacteria and archaea,1223.1,695.7,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
fb5f1a04-97a3-4b8b-b87b-728e97861515,BART_003.basePlot.bgc,D01,BART,BART_003,2016-07-26T14:19Z,2017-08-30,soil,BART_003-O-35-25-20160726-GEN,Battelle Applied Genomics,BART_003-O-35-25-20160726-GEN-DNA1,,BMI_Plate1WellA7,BMI_qPCR_SOP_v1,59,N,16S,bacteria and archaea,602.3,125.3,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
086f8f2a-37fd-480b-8443-1e1acc58ccb2,BART_003.basePlot.bgc,D01,BART,BART_003,2016-07-26T14:19Z,2017-09-02,soil,BART_003-O-35-25-20160726-GEN,Battelle Applied Genomics,BART_003-O-35-25-20160726-GEN-DNA1,,BMI_Plate1WellA7,BMI_qPCR_SOP_v1,59,N,ITS,fungi,1.7,0.1,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
8bb9bfab-316a-410e-8e77-70266f20530d,BART_003.basePlot.bgc,D01,BART,BART_003,2016-07-26T14:43Z,2017-08-30,soil,BART_003-O-18-36.5-20160726-GEN,Battelle Applied Genomics,BART_003-O-18-36.5-20160726-GEN-DNA1,,BMI_Plate1WellA5,BMI_qPCR_SOP_v1,89,N,ITS,fungi,0,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
f4a58099-0c6d-428f-b640-cfbc2e7281c2,BART_024.basePlot.bgc,D01,BART,BART_024,2016-07-26T16:44Z,2017-08-30,soil,BART_024-O-23.5-36-20160726-GEN,Battelle Applied Genomics,BART_024-O-23.5-36-20160726-GEN-DNA1,,BMI_Plate1WellB8,BMI_qPCR_SOP_v1,7.9,N,16S,bacteria and archaea,102.6,2.1,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
a22ea319-c014-46de-8c79-31fc98de1e52,BART_024.basePlot.bgc,D01,BART,BART_024,2016-07-26T17:03Z,2017-08-30,soil,BART_024-O-36-13-20160726-GEN,Battelle Applied Genomics,BART_024-O-36-13-20160726-GEN-DNA1,,BMI_Plate1WellA6,BMI_qPCR_SOP_v1,32,N,ITS,fungi,143.3,21,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
979c2fd7-1001-40fe-8c47-d3506ca5dba7,BART_024.basePlot.bgc,D01,BART,BART_024,2016-07-26T17:03Z,2017-08-30,soil,BART_024-O-36-13-20160726-GEN,Battelle Applied Genomics,BART_024-O-36-13-20160726-GEN-DNA1,,BMI_Plate1WellA6,BMI_qPCR_SOP_v1,32,N,16S,bacteria and archaea,6094.9,948.4,EpO2CC/Vy5ISfMKifWWP0Q==,RuY12me+ipXm0I2ck7Euxg==,,20201217T165703Z,RELEASE-2021
dea0cf47-4e51-4758-b902-53fd4ce97fa2,BART_023.basePlot.bgc,D01,BART,BART_023,2016-07-26T19:30Z,2017-09-02,soil,BART_023-O-38.5-23-20160726-GEN,Battelle Applied Genomics,BART_023-O-38.5-23-20160726-GEN-DNA1,,BMI_Plate1WellC9,BMI_qPCR_SOP_v1,24,N,ITS,fungi,0,0,EpO2CC/Vy5ISfMKifWWP0Q==,rxnG2CiGqmtjb2l9Nr0Pnw==,,20201217T165703Z,RELEASE-2021
