"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"mga_labSummary","targetTaxonGroup","Taxonomic group targeted","string",NA,"expanded","LOV","Y","mga.targetTaxonGroup"
"mga_labSummary","labSpecificStartDate","Date a specific analyte, instrument, and associated method detection limit combination started","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"mga_labSummary","labSpecificEndDate","Date a specific analyte, instrument, and associated method detection limit combination ended","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"mga_labSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"mga_labSummary","qpcrDetectionMethod","Method used for amplicon detection in qPCR assay","string",NA,"expanded","LOV","N","mga.qpcrDetectionMethod"
"mga_labSummary","primerConcentration","Concentration of primers used in sample assay","real","micromolesPerLiter","expanded","*.##(round)","N",""
"mga_labSummary","forwardPrimer","DNA sequence of forward primer","string",NA,"expanded","asIs","N",""
"mga_labSummary","reversePrimer","DNA sequence of reverse primer","string",NA,"expanded","asIs","N",""
"mga_labSummary","ampliconLength","Length of amplicon","unsigned integer","number","expanded","integer","N",""
"mga_labSummary","dNTPConcentration","Concentration of deoxynucleoside triphosphates used in sample assay","real","millimolesPerLiter","expanded","*.#(round)","N",""
"mga_labSummary","probeConcentration","Concentration of probe used in sample assays","real","millimolesPerLiter","expanded","*.#(round)","N",""
"mga_labSummary","mgConcentration","Concentration of magnesium used in sample assay","real","millimolesPerLiter","expanded","*.#(round)","N",""
"mga_labSummary","polymeraseType","Type of DNA polymerase used in sample assay","string",NA,"expanded","asIs","N",""
"mga_labSummary","polymeraseUnitNumber","Number of units of DNA polymerase used in sample assay","real","number","expanded","*.#(round)","N",""
"mga_labSummary","bufferID","Identity and manufacturer of buffer or kit","string",NA,"expanded","asIs","N",""
"mga_labSummary","bufferComposition","Contents of buffer solution","string",NA,"expanded","asIs","N",""
"mga_labSummary","reactionVolume","Volume of reaction","real","microliter","expanded","*.#(round)","N",""
"mga_labSummary","qpcrMethod","Protocol used for qPCR reaction setup and themocycling conditions","string",NA,"expanded","LOV","N","mga.testProtocolVersion"
"mga_labSummary","instrument","Type of instrument used for the analysis","string",NA,"expanded","LOV","N","mga.instrument"
"mga_labSummary","primerSpecificity","Specificity of primer for target taxa based on BLAST or similar analysis","real","percent","expanded","*.#(round)","N",""
"mga_labSummary","detectionLimit","Lowest concentration of target gene copies measured consistently in replicate assays","real","numberPerNanogram","expanded","integer","N",""
"mga_labSummary","multiplexStatus","Whether multiple genes are targeted in a single PCR reaction","string",NA,"expanded","LOV","N","Yes or No choice"
"mga_labSummary","qPCRAnalysisProgram","Name, version and manufacturer of qPCR analysis software","string",NA,"expanded","asIs","N",""
"mga_labSummary","cqMethod","Method used to determine the quantification cycle","string",NA,"expanded","LOV","N","mga.testProtocolVersion"
"mga_labSummary","recordedBy","An identifier for the technician who recorded the data","string",NA,"expanded","obfuscate","N",""
"mga_labSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"mga_soilGroupAbundances","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","siteID","NEON site code","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"mga_soilGroupAbundances","processedDate","Date or date and time of processing event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mga_soilGroupAbundances","sampleMaterial","The material in which a sample was embedded prior to the sampling event","string",NA,"basic","LOV","N","mmg.sampleMaterial"
"mga_soilGroupAbundances","geneticSampleID","Identifier for the genetic sample","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","dnaSampleID","Identifier for DNA sample","string",NA,"basic","asIs","Y",""
"mga_soilGroupAbundances","dnaSampleCode","Barcode of a DNA sample","string",NA,"basic","asIs","Y",""
"mga_soilGroupAbundances","internalLabID","Internal identifier used by the external facility","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","batchID","Identifier for batch or analytical run","string",NA,"expanded","asIs","N",""
"mga_soilGroupAbundances","testProtocolVersion","The protocol version used to test the sample","string",NA,"basic","LOV","N","mga.testProtocolVersion"
"mga_soilGroupAbundances","nucleicAcidConcentration","Concentration of extracted nucleic acids","real","nanogramsPerMicroliter","basic","*.#(round)","N",""
"mga_soilGroupAbundances","inhibitorRemovalRequired","Indicates whether nucleic acid inhibitor removal was required prior to analysis","string",NA,"basic","LOV","N","Yes or No choice"
"mga_soilGroupAbundances","targetGene","Targeted gene or locus name","string",NA,"basic","LOV","N","mga.targetGene"
"mga_soilGroupAbundances","targetTaxonGroup","Taxonomic group targeted","string",NA,"basic","LOV","Y","mga.targetTaxonGroup"
"mga_soilGroupAbundances","sampleCondition","Condition of a sample","string",NA,"expanded","LOV","N","mga.sampleCondition"
"mga_soilGroupAbundances","meanCopyNumber","Average gene copy number in a sample in copies per nanogram of DNA","real","numberPerNanogram","basic","*.#(round)","N",""
"mga_soilGroupAbundances","copyNumberStandardDeviation","Standard deviation in gene copy number in a sample","real","numberPerNanogram","basic","*.#(round)","N",""
"mga_soilGroupAbundances","meanCqValue","Average quantification cycle or threshold number in a sample","real",NA,"expanded","*.#(round)","N",""
"mga_soilGroupAbundances","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","obfuscate","N",""
"mga_soilGroupAbundances","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"basic","obfuscate","N",""
"mga_soilGroupAbundances","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"mga_soilGroupAbundances","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"mga_soilGroupAbundances","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mga_soilGroupAbundances","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
