uid,domainID,siteID,plotID,namedLocation,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,smRemarks,smMeasuredBy,smDataQF,publicationDate,release
ee49352d-9e25-486f-a860-8b95e6811c8c,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T17:30Z,BART_001-O-26-3-20140521,,BART_001-O-26-3-20140521-SM,NEON.DOC.014048vC,O,2014-05-27T14:01Z,2014-05-29T12:10Z,2.15,7.69,4.15,1.77,0.361,"",,legacyData,20201217T042502Z,RELEASE-2021
0133ea17-eb43-427a-9b99-fe0461158bb4,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T17:30Z,BART_001-M-26-3-20140521,,BART_001-M-26-3-20140521-SM,NEON.DOC.014048vC,M,2014-05-27T14:01Z,2014-05-29T12:10Z,2.2,12.65,9.18,0.497,0.668,"",,legacyData,20201217T042502Z,RELEASE-2021
30ed0e4f-c0a2-44aa-8a2b-0af4380434ef,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T17:50Z,BART_001-O-29-2-20140521,,BART_001-O-29-2-20140521-SM,NEON.DOC.014048vC,O,2014-05-27T14:01Z,2014-05-29T12:10Z,2.18,7.6,4.03,1.93,0.341,"",,legacyData,20201217T042502Z,RELEASE-2021
861b4789-0aa7-4780-8bd8-87eed5a4f19d,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T17:50Z,BART_001-M-29-2-20140521,,BART_001-M-29-2-20140521-SM,NEON.DOC.014048vC,M,2014-05-27T14:01Z,2014-05-29T12:10Z,2.13,12.47,8.88,0.532,0.653,Dup Ph in water: 4.78; Dup pH_CaCl2: 3.92; QC: No error EME,,legacyData,20201217T042502Z,RELEASE-2021
317b8ae0-9ec4-4e66-b5e3-011a1f8cbb2e,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T18:10Z,BART_001-M-17-34-20140521,,BART_001-M-17-34-20140521-SM,NEON.DOC.014048vC,M,2014-05-27T14:01Z,2014-05-29T12:10Z,2.14,12.37,10.29,0.255,0.797,"",,legacyData,20201217T042502Z,RELEASE-2021
bd93c713-a565-481e-bad3-01b3b94eec53,D01,BART,BART_001,BART_001.basePlot.bgc,2014-05-21T18:10Z,BART_001-O-17-34-20140521,,BART_001-O-17-34-20140521-SM,NEON.DOC.014048vC,O,2014-05-27T14:01Z,2014-05-29T12:10Z,2.21,7.87,4.66,1.31,0.433,"",,legacyData,20201217T042502Z,RELEASE-2021
a7e27e28-28b0-4c7e-93ee-301ea5313b4a,D01,BART,BART_040,BART_040.basePlot.bgc,2016-04-18T16:56Z,BART_040-O-14.5-7-20160418,,BART_040-O-14.5-7-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:56Z,2.11,7.11,3.18,3.673,0.214,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
9fcc1e00-c07b-481f-9431-b3dac610b5a1,D01,BART,BART_040,BART_040.basePlot.bgc,2016-04-18T17:29Z,BART_040-O-0.5-20-20160418,,BART_040-O-0.5-20-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:56Z,2.13,7.13,3.53,2.571,0.28,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
f9de981a-4d75-4790-9973-e652b253e504,D01,BART,BART_040,BART_040.basePlot.bgc,2016-04-18T17:49Z,BART_040-O-32-23-20160418,,BART_040-O-32-23-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:56Z,2.14,7.15,3.43,2.884,0.257,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
c00a04da-c493-40b7-a0d1-10757568ec97,D01,BART,BART_071,BART_071.basePlot.bgc,2016-04-18T18:24Z,BART_071-O-8-13-20160418,,BART_071-O-8-13-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:58Z,2.15,7.14,3.48,2.752,0.267,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
e6cb5ef3-a582-445e-8d60-5ec54bf1a8bc,D01,BART,BART_071,BART_071.basePlot.bgc,2016-04-18T18:44Z,BART_071-O-28-3-20160418,,BART_071-O-28-3-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:58Z,2.17,7.15,3.89,1.895,0.345,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
fa5bc46f-6848-4b76-9e76-a3d13a5a6763,D01,BART,BART_071,BART_071.basePlot.bgc,2016-04-18T19:19Z,BART_071-O-8.5-30.5-20160418,,BART_071-O-8.5-30.5-20160418,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:58Z,2.15,7.14,4.42,1.198,0.455,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
725f3f49-0cee-4e0d-b7d2-af453d4f76b6,D01,BART,BART_001,BART_001.basePlot.bgc,2016-04-19T14:30Z,BART_001-O-8-25.5-20160419,,BART_001-O-8-25.5-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:54Z,2.1,7.11,3.81,1.93,0.341,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
ad92db1e-6bc8-4564-bb0c-792f06d36c79,D01,BART,BART_001,BART_001.basePlot.bgc,2016-04-19T14:57Z,BART_001-O-20-36.5-20160419,,BART_001-O-20-36.5-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:53Z,2.13,7.14,3.51,2.63,0.275,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
0c41aac8-7c16-4b98-a81e-f334927fbbea,D01,BART,BART_001,BART_001.basePlot.bgc,2016-04-19T15:25Z,BART_001-O-38.5-8-20160419,,BART_001-O-38.5-8-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:54Z,2.16,7.15,3.41,2.992,0.251,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
d9b5e610-4471-4cf9-af1e-7a5a918ccc3f,D01,BART,BART_004,BART_004.basePlot.bgc,2016-04-19T17:50Z,BART_004-O-0-13.5-20160419,,BART_004-O-0-13.5-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:52Z,2.14,7.14,3.46,2.788,0.264,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
f460a3c4-7364-4317-8e61-518db63b8ea5,D01,BART,BART_004,BART_004.basePlot.bgc,2016-04-19T18:19Z,BART_004-O-12.5-33.5-20160419,,BART_004-O-12.5-33.5-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:52Z,2.16,7.16,4.17,1.488,0.402,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
78aac51e-723b-44f7-89f8-9523395f8c2b,D01,BART,BART_004,BART_004.basePlot.bgc,2016-04-19T18:50Z,BART_004-O-37.5-38-20160419,,BART_004-O-37.5-38-20160419,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:53Z,2.11,7.12,3.16,3.771,0.21,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
036c53fb-61a2-451e-ba69-20fe5eb14e60,D01,BART,BART_023,BART_023.basePlot.bgc,2016-04-20T15:19Z,BART_023-O-2.5-31.5-20160420,,BART_023-O-2.5-31.5-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:57Z,2.17,7.17,3.4,3.065,0.246,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
c9bdf053-290f-4ee4-b4e1-ab4d9623a85a,D01,BART,BART_023,BART_023.basePlot.bgc,2016-04-20T15:38Z,BART_023-O-0.5-8.5-20160420,,BART_023-O-0.5-8.5-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:57Z,2.1,7.11,3.25,3.357,0.23,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
6fefa313-5364-4c82-ae09-36f7b50d1111,D01,BART,BART_023,BART_023.basePlot.bgc,2016-04-20T16:00Z,BART_023-O-36-34-20160420,,BART_023-O-36-34-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:57Z,2.11,7.12,3.13,3.912,0.204,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
14c8cf7e-c781-46f8-99a9-1b81f6943b60,D01,BART,BART_024,BART_024.basePlot.bgc,2016-04-20T16:51Z,BART_024-O-35.5-1-20160420,,BART_024-O-35.5-1-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:55Z,2.13,7.13,3.75,2.086,0.324,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
60a21921-516d-4b6d-84a7-302fdc9497b4,D01,BART,BART_024,BART_024.basePlot.bgc,2016-04-20T17:10Z,BART_024-O-27.5-35-20160420,,BART_024-O-27.5-35-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:55Z,2.16,7.16,2.95,5.329,0.158,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
8a8ea215-88cd-4a94-8a65-ff1262264d6d,D01,BART,BART_024,BART_024.basePlot.bgc,2016-04-20T17:30Z,BART_024-O-6-35-20160420,,BART_024-O-6-35-20160420,NEON.DOC.014048vG,O,2016-04-21T20:03Z,2016-04-25T18:54Z,2.1,7.09,3.24,3.377,0.228,,gfaria@neoninc.org,,20201217T170957Z,RELEASE-2021
ad1bca4d-ffd2-4c07-9a9a-b00940f92949,D01,BART,BART_036,BART_036.basePlot.bgc,2016-04-25T15:53Z,BART_036-O-1-6-20160425,,BART_036-O-1-6-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.11,7.13,3.9,1.804,0.357,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
149da994-403b-4535-bd04-13f5542b52fb,D01,BART,BART_036,BART_036.basePlot.bgc,2016-04-25T16:36Z,BART_036-O-39.5-10-20160425,,BART_036-O-39.5-10-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.13,7.16,4.54,1.087,0.479,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
10884ad5-066f-4a33-9260-e79c4d966919,D01,BART,BART_036,BART_036.basePlot.bgc,2016-04-25T17:04Z,BART_036-O-34-29.5-20160425,,BART_036-O-34-29.5-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.05,7.06,3.56,2.318,0.301,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
1905bb40-f644-4a77-9214-dc2c2043d3e0,D01,BART,BART_003,BART_003.basePlot.bgc,2016-04-25T20:02Z,BART_003-O-18-3.5-20160425,,BART_003-O-18-3.5-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.11,7.1,4.42,1.16,0.463,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
dd627108-32df-459d-96ab-dc88fa214641,D01,BART,BART_003,BART_003.basePlot.bgc,2016-04-25T20:23Z,BART_003-O-6-24.5-20160425,,BART_003-O-6-24.5-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.15,7.15,4.1,1.564,0.39,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
c1f5e269-cf96-453d-8bb2-e00c1c5089cd,D01,BART,BART_003,BART_003.basePlot.bgc,2016-04-25T20:44Z,BART_003-O-37-37-20160425,,BART_003-O-37-37-20160425,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-27T17:23Z,2.09,7.04,3.91,1.72,0.368,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
3dbcb67c-bad7-4ab5-bcca-b5205c1b60ff,D01,BART,BART_002,BART_002.basePlot.bgc,2016-04-26T12:48Z,BART_002-O-3-8-20160426,,BART_002-O-3-8-20160426,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.13,7.16,5.13,0.677,0.596,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
31878fcf-3e8a-470e-b0bb-152c5899c915,D01,BART,BART_002,BART_002.basePlot.bgc,2016-04-26T13:49Z,BART_002-O-31.5-0.5-20160426,,BART_002-O-31.5-0.5-20160426,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.17,7.16,5.19,0.652,0.605,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
5baa9d14-75c5-40d7-b623-fca5cc546fe3,D01,BART,BART_042,BART_042.basePlot.bgc,2016-04-26T15:20Z,BART_042-O-18.5-5.5-20160426,,BART_042-O-18.5-5.5-20160426,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.15,7.17,4.76,0.923,0.52,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
cc11bc98-b7a2-493e-8001-15f00ec90b65,D01,BART,BART_042,BART_042.basePlot.bgc,2016-04-26T15:43Z,BART_042-O-38.5-7.5-20160426,,BART_042-O-38.5-7.5-20160426,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.17,7.17,4.25,1.404,0.416,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
58905080-6409-40e8-9ade-a71c19c88f47,D01,BART,BART_042,BART_042.basePlot.bgc,2016-04-26T16:02Z,BART_042-O-21-30.5-20160426,,BART_042-O-21-30.5-20160426,NEON.DOC.014048vG,O,2016-04-27T15:17Z,2016-04-29T17:23Z,2.12,7.14,3.63,2.325,0.301,,auccello@field-ops.org,,20201217T170957Z,RELEASE-2021
f60f6d34-a5e5-476e-bab6-b05af1ffafcc,D01,BART,BART_001,BART_001.basePlot.bgc,2016-07-25T15:29Z,BART_001-O-11.5-9.5-20160725,,BART_001-O-11.5-9.5-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.13,7.1,3.91,1.792,0.358,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
8a7678ba-4791-4c05-994f-c5ed78920a0c,D01,BART,BART_001,BART_001.basePlot.bgc,2016-07-25T16:10Z,BART_001-O-30-17-20160725,,BART_001-O-30-17-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.12,7.08,3.48,2.647,0.274,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
be504c19-6e95-4e38-be42-f619351a8183,D01,BART,BART_001,BART_001.basePlot.bgc,2016-07-25T16:38Z,BART_001-O-35-27-20160725,,BART_001-O-35-27-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.08,7.13,3.22,3.43,0.226,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
944169c1-cc48-4c4c-8ecf-3829e980eef4,D01,BART,BART_004,BART_004.basePlot.bgc,2016-07-25T18:05Z,BART_004-O-18-4.5-20160725,,BART_004-O-18-4.5-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.04,7.03,3.55,2.305,0.303,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
d8a79a16-be8b-4b4f-b011-ec650cdd8436,D01,BART,BART_004,BART_004.basePlot.bgc,2016-07-25T18:37Z,BART_004-O-22.5-2.5-20160725,,BART_004-O-22.5-2.5-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.13,7.09,3.29,3.276,0.234,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
38e7f1fd-5e88-4086-bc34-11228aff1603,D01,BART,BART_004,BART_004.basePlot.bgc,2016-07-25T19:08Z,BART_004-O-2.5-34.5-20160725,,BART_004-O-2.5-34.5-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.1,7.16,3.65,2.265,0.306,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
28296b3c-0c9b-4a8d-ad3d-ddd820ef665f,D01,BART,BART_042,BART_042.basePlot.bgc,2016-07-25T20:16Z,BART_042-O-4-31.5-20160725,,BART_042-O-4-31.5-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:50Z,2.14,7.09,3.93,1.765,0.362,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
28724aaf-35de-4b75-9f19-7263acd7d71e,D01,BART,BART_042,BART_042.basePlot.bgc,2016-07-25T20:54Z,BART_042-O-4.5-4-20160725,,BART_042-O-4.5-4-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.09,7.06,4.48,1.079,0.481,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
885bbaec-0141-4910-a354-5bd5a52c6011,D01,BART,BART_042,BART_042.basePlot.bgc,2016-07-25T21:15Z,BART_042-O-33-2-20160725,,BART_042-O-33-2-20160725,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.05,7.08,4.34,1.197,0.455,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
ee0f9e26-61db-4d83-91b1-41eaf8cafea8,D01,BART,BART_003,BART_003.basePlot.bgc,2016-07-26T13:48Z,BART_003-O-37.5-18.5-20160726,,BART_003-O-37.5-18.5-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.15,7.18,4.13,1.54,0.394,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
5f245ee9-5071-471a-a26d-d99a46631b88,D01,BART,BART_003,BART_003.basePlot.bgc,2016-07-26T14:19Z,BART_003-O-35-25-20160726,,BART_003-O-35-25-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.11,7.09,4.46,1.119,0.472,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
2ba6c517-a049-4065-9c59-3f91960d66af,D01,BART,BART_003,BART_003.basePlot.bgc,2016-07-26T14:43Z,BART_003-O-18-36.5-20160726,,BART_003-O-18-36.5-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.16,7.23,4.31,1.358,0.424,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
cb2197ed-8676-426d-ad00-572533ba3b28,D01,BART,BART_024,BART_024.basePlot.bgc,2016-07-26T16:44Z,BART_024-O-23.5-36-20160726,,BART_024-O-23.5-36-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.11,7.13,4.05,1.588,0.386,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
d42d020f-9b3d-4400-aec7-9e5a76957f28,D01,BART,BART_024,BART_024.basePlot.bgc,2016-07-26T17:03Z,BART_024-O-36-13-20160726,,BART_024-O-36-13-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.13,7.15,5.6,0.447,0.691,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
b455e262-7af4-4923-a3db-d463436f5122,D01,BART,BART_024,BART_024.basePlot.bgc,2016-07-26T17:23Z,BART_024-O-13-8-20160726,,BART_024-O-13-8-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.05,7.01,3.92,1.652,0.377,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
895058fd-9030-49cf-a2f1-d726bf1fb8a2,D01,BART,BART_023,BART_023.basePlot.bgc,2016-07-26T19:04Z,BART_023-O-32-7-20160726,,BART_023-O-32-7-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.15,7.14,3.55,2.564,0.281,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
fcf53dd0-82d9-4e21-b4ff-90a344ad0780,D01,BART,BART_023,BART_023.basePlot.bgc,2016-07-26T19:30Z,BART_023-O-38.5-23-20160726,,BART_023-O-38.5-23-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.06,7.14,4.63,0.977,0.506,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
dbfe62d7-0dc3-4ccc-b9ae-bd8b3923e70d,D01,BART,BART_023,BART_023.basePlot.bgc,2016-07-26T20:00Z,BART_023-O-11.5-37-20160726,,BART_023-O-11.5-37-20160726,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:50Z,2.1,7.09,3.44,2.724,0.269,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
b20311d7-083c-4236-bc8e-2eb4c5361a32,D01,BART,BART_002,BART_002.basePlot.bgc,2016-07-27T12:25Z,BART_002-O-11-32.5-20160727,,BART_002-O-11-32.5-20160727,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.12,7.2,6.26,0.227,0.815,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
dc9f6026-3d39-41dd-9af7-3715c8bf46b6,D01,BART,BART_002,BART_002.basePlot.bgc,2016-07-27T12:51Z,BART_002-O-12-0.5-20160727,,BART_002-O-12-0.5-20160727,NEON.DOC.014048vG,O,2016-07-28T14:15Z,2016-08-01T16:55Z,2.13,7.1,5.67,0.404,0.712,,nflannery@field-ops.org,,20201217T170854Z,RELEASE-2021
