"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"mcc_soilSeqVariantMetadata_ITS","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"mcc_soilSeqVariantMetadata_ITS","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mcc_soilSeqVariantMetadata_ITS","sampleMaterial","The material in which a sample was embedded prior to the sampling event","string",NA,"basic","LOV","N","mcc.sampleMaterial"
"mcc_soilSeqVariantMetadata_ITS","geneticSampleID","Identifier for the genetic sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","geneticSampleCode","Barcode of a genetic sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","dnaSampleID","Identifier for DNA sample","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_ITS","dnaSampleCode","Barcode of a DNA sample","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_ITS","internalLabID","Internal identifier used by the external facility","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_ITS","sequencerRunID","Identifier for the sequencing run","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","downloadFileUrl","The URL of the file linked to the record","uri",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","downloadFileName","The name of the user-downloaded file that is linked to the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","codeVersion","Method used to conduct the bioinformatic analysis from raw sequencing files","string",NA,"basic","LOV","N","mcc.testMethod"
"mcc_soilSeqVariantMetadata_ITS","targetGene","Targeted gene or locus name","string",NA,"basic","LOV","N","mmg.targetGene"
"mcc_soilSeqVariantMetadata_ITS","targetTaxonGroup","Taxonomic group targeted","string",NA,"basic","LOV","N","mcc.targetTaxonGroup"
"mcc_soilSeqVariantMetadata_ITS","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","obfuscate","N",""
"mcc_soilSeqVariantMetadata_ITS","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"basic","obfuscate","N",""
"mcc_soilSeqVariantMetadata_ITS","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","sampleFilteredReadNumber","Number of sequence reads that pass quality filtering","unsigned integer","number","basic","integer","N",""
"mcc_soilSeqVariantMetadata_ITS","sequenceCountQF","Quality flag for number of sequences analyzed","string",NA,"basic","LOV","N","mcc.sequenceCountQF"
"mcc_soilSeqVariantMetadata_ITS","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mcc_soilSeqVariantMetadata_ITS","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"mcc_taxonTableLabSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","targetTaxonGroup","Taxonomic group targeted","string",NA,"expanded","LOV","Y","mcc.targetTaxonGroup"
"mcc_taxonTableLabSummary","codeVersion","Method used to conduct the bioinformatic analysis from raw sequencing files","string",NA,"expanded","LOV","N","mcc.testMethod"
"mcc_taxonTableLabSummary","chimeraMethod","Method used to remove chimeras from sequences","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","clusterMethod","Method used to cluster sequences","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","clusterSimilarity","Similarity threshold for sequence clusters","real","percent","expanded","signif_####(round)","N",""
"mcc_taxonTableLabSummary","alignmentMethod","Method used to align sequences","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","referenceDatabase","Reference database used for taxonomic identification","string",NA,"expanded","LOV","N","mcc.refDatabase"
"mcc_taxonTableLabSummary","referenceDatabaseVersion","The unique name and numbering combination assigned to the reference database","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","analysisProgram","Program or software used to analyze sequences for taxonomic identification","string",NA,"expanded","LOV","N","mcc.analysisProgram"
"mcc_taxonTableLabSummary","analysisProgramVersion","The unique name and numbering combination assigned to the analysis program","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","sequenceMatchMethod","Method and/or algorithm used to evaluate the similarity between a query and reference sequence","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","sequenceMatchThresholdValue","Threshold value for considering a query and a reference sequence a match","real",NA,"expanded","signif_####(round)","N",""
"mcc_taxonTableLabSummary","sequenceMatchValueDescription","Description of the metric used to evaluate if a query and a reference sequence are a match","string",NA,"expanded","LOV","N","mcc.sequenceMatchValueDescription"
"mcc_taxonTableLabSummary","analysisCodeFileName","File name of code used for data analysis","string",NA,"expanded","LOV","N","mcc.analysisCode"
"mcc_taxonTableLabSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"mcc_taxonTableLabSummary","labSpecificStartDate","Date a specific analyte, instrument, and associated method detection limit combination started","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"mcc_taxonTableLabSummary","labSpecificEndDate","Date a specific analyte, instrument, and associated method detection limit combination ended","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"mcc_taxonTableLabSummary","recordedBy","An identifier for the technician who recorded the data","string",NA,"expanded","obfuscate","N",""
"mcc_taxonTableLabSummary","remarks","Technician notes; free text comments accompanying the record","string",NA,"expanded","asIs","N",""
"mcc_taxonTableLabSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
