name,pubCode,description,startDate,endDate
"spc.analyte","mgSatx","Magnesium in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","naSatx","Sodium in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","no2Satx","Nitrite in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","no3Satx","Nitrate in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","pSatx","Phosphate in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","phSp","pH of the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","resist","Resistivity of the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","so4Satx","Sulfate in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","cTot","Total carbon of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","nTot","Total nitrogen of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","ctonRatio","Ratio of total Carbon to total Nitrogen of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","eoc","Estimated organic carbon of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sTot","Total sulfur of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandTotal","Total sand (0.047-2 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","siltTotal","Total silt (0.002-0.047 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","clayTotal","Total clay (<0.002 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","carbonateClay","Carbonate clay (<0.002 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","clayFineContent","Fine clay (<0.0002 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","siltFineContent","Fine silt (0.002-0.02 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","siltCoarseContent","Coarse silt (0.02-0.047 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandVeryFineContent","Very fine sand (0.047-0.105 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandFineContent","Fine sand (0.105-0.25 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandMediumContent","Medium sand (0.25-0.5 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandCoarseContent","Coarse sand (0.5-1 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","sandVeryCoarseContent","Very coarse sand (1-2 mm) content on a weight basis of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","alOxalate","Total soil Al as estimated by the ammonium oxalate extraction method, reported as weight percent on the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","feOxalate","Total soil noncrystalline iron as measured by the ammonium oxalate extraction method, reported as weight percent on the <2mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","mnOxalate","Total soil manganese content fraction held in noncrystalline compounds as measured by the ammonium oxalate extraction method and reported as milligrams per kilogram on a <2 mm base",2012-01-01T00:00:00Z,
"spc.analyte","pOxalate","Soil phosphorus measured by the ammonium oxalate extraction method",2012-01-01T00:00:00Z,
"spc.analyte","siOxalate","Total soil silica content as measured by the ammonium oxalate extraction method, reported as a weight percent on a <2 mm base",2012-01-01T00:00:00Z,
"spc.analyte","optDensityOxalate","Optical density of the ammonium oxalate soil extract",2012-01-01T00:00:00Z,
"spc.analyte","alCitDithionate","Dithionite citrate extractable aluminum content, indicates the amount of aluminum substituted for iron in iron oxides, reported as weight percent on the <2mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","feCitDithionate","Dithionite citrate extractable iron, a general measure of total pedogenic iron, reported as weight percent on the <2mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","mnCitDithionate","Dithionite citrate extractable manganese content, reported as weight percent on the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","siliconCitrateDithionate","Dithionite citrate extractable silicon, reported as weight percent on the <2mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","acidity","Extractable acidity measured as the amount of acid neutralized in BaCl2-TEA at pH 8.2",2012-01-01T00:00:00Z,
"spc.analyte","pMehlichIII","Total phosphorus extracted by the Mehlich III solution",2012-01-01T00:00:00Z,
"spc.analyte","Bray1PExtractable","Total phosphorus extracted by the Bray 1 solution",2012-01-01T00:00:00Z,
"spc.analyte","OlsenPExtractable","Total phosphorus extracted by the Olsen solution",2012-01-01T00:00:00Z,
"spc.analyte","bulkDensFieldMoist","Weight per unit volume of the <2 mm fraction, measured at field moisture",2012-01-01T00:00:00Z,
"spc.analyteUnits","milligramsPerKilogram","Analyte measured in milligrams per kilogram",2012-01-01T00:00:00Z,
"spc.analyteUnits","percent","Analyte measured in percent on a dry mass basis",2012-01-01T00:00:00Z,
"spc.analyteUnits","gramsPerKilogram","Analyte measured in grams per kilogram",2012-01-01T00:00:00Z,
"spc.analyteUnits","millimolesPerLiter","Analyte measured in millimoles per liter",2012-01-01T00:00:00Z,
"spc.analyteUnits","decisiemensPerMeter","Analyte measured in decisiemens per meter",2012-01-01T00:00:00Z,
"spc.analyteUnits","centimolesChargePerKilogram","Analyte measured in centimoles charge per kilogram",2012-01-01T00:00:00Z,
"spc.analyteUnits","gramsPerCubicCentimeter","Analyte measured in grams per cubic centimeter",2012-01-01T00:00:00Z,
"spc.analyteUnits","pH","Analyte measured in pH units",2012-01-01T00:00:00Z,
"spc.bulkDensSampleType","clod","Soil sample consisting of a coherent, consolidated mass which may or may not be stabilized with a saran coating",2012-01-01T00:00:00Z,
"spc.bulkDensSampleType","intact core","Soil sample consisting of a coherent, consolidated mass from a coring sampler and retained in the coring sampler until analysis. With care, this type of sample can be treated in the same manner as a clod",2012-01-01T00:00:00Z,
"spc.bulkDensSampleType","compliant cavity","Soil sample consisting of a coherent, consolidated mass from a variable amount of sample obtained with a compliant cavity procedure",2012-01-01T00:00:00Z,
"spc.bulkDensSampleType","field core","Soil sample consisting of a coherent, consolidated mass from a coring sampler, removed and placed in a bag. The core has a known volume and bagged sample is assumed to represent that volume. The actual volume depends on how carefully the core is trimmed",2012-01-01T00:00:00Z,
"spc.referenceCorner","SW20","Southwest 20 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","SW40","Southwest 40 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","SE20","Southeast 20 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","SE40","Southeast 40 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","NW20","Northwest 20 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","NW40","Northwest 40 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","NE20","Northeast 20 plot marker",2012-01-01T00:00:00Z,
"spc.referenceCorner","NE40","Northeast 40 plot marker",2012-01-01T00:00:00Z,
"spc.soilSamplingMethod","soil pit","Soil descriptions and samples achieved by digging a pit",2012-01-01T00:00:00Z,
"spc.soilSamplingMethod","soil core","Soil descriptions and samples achieved using soil cores",2012-01-01T00:00:00Z,
"spc.testProtocolVersion","Field Book for Describing and Sampling Soils ver3","Schoeneberger, P., D. Wysocki, E. Benham, and Soil Survey Staff (2012), Field Book for Describing and Sampling Soils, Version 3.0, Natural Resources Conservation Service, National Soil Survey Center, Lincoln Nebraska.",2012-01-01T00:00:00Z,
