Date started,Sample ID,mg total soil (aim 5000),FLF tin mass (mg),FLF filter air dry mass (mg),oven-dried FLF+tin+filter dry mass (mg),oLF tin mass (mg),oLF filter air dry mass (mg),oven-dried oLF+tin+filter mass (mg),HF tin mass (mg),oven-dried HF+ tin mass (mg),fLF mass (mg),oLF mass (mg),HF mass (mg),Total fractions mass,% recovery ,flf mass/flf+filter mass,,,,,,,,,,
22 Feb 2021,ORNL_029,5050.2,1725.7,102.7,1865.1,1747.5,103,1917.5,1744.6,5196,36.7,67,4839.4,4943.1,97.87929191,0.3948143783,,,,,,,,,,
22 Feb 2021,ORNL_037,5202,1737.5,104.5,1906.5,1730.6,102.5,1870.1,1729.9,6831.8,64.5,37,5101.9,5203.4,100.0269127,0.2614840989,,,,,,,,,,
22 Feb 2021,SERC_001,5561.9,1719.1,103.6,1863.6,1731.1,103.2,1869.6,1759.6,7243.9,40.9,35.3,5484.3,5560.5,99.97482875,0.2541396688,,,,,,,,,,
22 Feb 2021,SERC_002,5518.3,1737.8,102.8,1878.7,1729.5,103.1,1862.2,1738.6,7144.2,38.1,29.6,5405.6,5473.3,99.18453147,0.2235649547,,,,,,,,,,
22 Feb 2021,TREE_001,5382.9,1731.9,103.1,1891.9,1730.3,102.9,1865.3,1738.8,7066.6,56.9,32.1,5327.8,5416.8,100.6297721,0.2374260355,,,,,,,,,,
22 Feb 2021,TREE_003,5459.1,1740.7,102.9,1917.7,1755.7,102.9,1934,1736.5,7042.4,74.1,75.4,5305.9,5455.4,99.93222326,0.4228827818,,,,,,,,,,
8 March 2021,BART_042,5108.8,1743.7,103.8,1884.3,1748.7,98.7,1883.3,1738.8,6818.3,36.8,35.9,5079.5,5152.2,100.8495146,0.3545279383,,,,,,,,,,
8 March 2021,BART_071,5132.9,1728.4,103.6,1900,1736.4,100.1,1873.8,1759.4,6802.2,68,37.3,5042.8,5148.1,100.2961289,0.6563706564,,,,,,,,,,
8 March 2021,DELA_037,5044.9,1728.7,104.2,1877.5,1733.7,100.6,1863.9,1721.4,6629.9,44.6,29.6,4908.5,4982.7,98.7670717,0.4280230326,8 balls,,,,,,,,,
8 March 2021,DELA_038,5024.8,1758.4,102.7,1907.7,1747.7,100.2,1882.7,1731.8,6817.8,46.6,34.8,5086,5167.4,102.8379239,0.4537487829,8 balls,,,,,,,,,
8 March 2021,DELA_041,5135.9,1739.3,103.8,1883.1,1726.2,101.6,1859.8,1742.6,6969.2,40,32,5226.6,5298.6,103.1678966,0.3853564547,8 balls,,,,,,,,,
8 March 2021,HARV_021,5278.9,1734.1,102.1,1986.3,1751.7,99.8,1927.7,1732.9,6803.8,150.1,76.2,5070.9,5297.2,100.3466631,1.470127326,,,,,,,,,,
8 March 2021,HARV_037,5077.8,1756.2,102.5,2494.1,1750.5,100.6,1990.2,1729.8,6021.9,635.4,139.1,4292.1,5066.6,99.77943204,6.19902439,,,,,,,,,,
8 March 2021,LENO_006,5153.2,1757.7,104.1,1895.1,1734.1,98,1873.6,1743.2,7219.2,33.3,41.5,5476,5550.8,107.7155942,0.3198847262,4 balls in tin 2,,,,,,,,,
8 March 2021,LENO_063,5086.3,1759.9,101.3,1908,1761.8,98,1888,1753.2,6640.5,46.8,28.2,4887.3,4962.3,97.56207852,0.461994077,,,,,,,,,,
8 March 2021,LENO_064,5098.3,1727.3,101.5,1873.7,1737.4,100.1,1859.7,1744.8,6719.9,44.9,22.2,4975.1,5042.2,98.89963321,0.442364532,,,,,,,,,,
8 March 2021,ORNL_046,5451.9,1731.3,101.5,1915.5,1736.8,99.2,1885.2,1749,7103.9,82.7,49.2,5354.9,5486.8,100.6401438,0.8147783251,,,,,,,,,,
8 March 2021,SERC_005,5139.9,1730.9,99.6,1895.5,1756.6,99,1898.1,1726.3,6712.9,65,42.5,4986.6,5094.1,99.10893208,0.6526104418,,,,,,,,,,
8 March 2021,SERC_045,5168.2,1756.4,100.1,1910.7,1743.3,98.4,1865.3,1747.7,6828,54.2,23.6,5080.3,5158.1,99.80457413,0.5414585415,,,,,,,,,,
8 March 2021,SERC_049,5219.2,1725.7,100.9,1881,1728.6,100.9,1855,1747.4,6843.9,54.4,25.5,5096.5,5176.4,99.17995095,0.539147671,,,,,,,,,,
8 March 2021,TREE_006,5273.9,1760.7,100.8,1928.2,1745.1,101.8,1873.3,1742.5,6947.7,66.7,26.4,5205.2,5298.3,100.4626557,0.6617063492,*never did find the one that was supposed to be missing?,,,,,,,,,
8 March 2021,TREE_041,5037.1,1723.1,102.6,1869,1723.4,98.7,1851.6,1748.3,6727.1,43.3,29.5,4978.8,5051.6,100.287864,0.4220272904,8 balls,,,,,,,,,
